"가뭄","누적강수량","가조시간","평균기온","저수량","댐","총저수량"
"정상",1105.4,11,9.1,60.54,"밀양",73.6
"보통습윤",1520.5,11,9.6,572.47,"합천",790
"심한습윤",1758.5,11,11.5,7.77,"평림",10.26
"보통습윤",1033.6,10.9,8.2,1076.65,"안동",1248
"보통습윤",1033.6,10.9,8.2,293.99,"임하",595
"심한습윤",1563.2,11,8.2,289.27,"섬진강",466
"정상",1050.7,11,11.3,33.56,"군위",48.7
"정상",1517.1,11,9.4,138.88,"남강",309.2
"정상",1236.7,10.9,5.8,1860.44,"충주",2750
"보통습윤",2033,11,12.8,8.49,"구천",10.02
"보통습윤",2033,11,12.8,4.28,"연초",5.22
"정상",1282,10.9,8.8,112.32,"영주",181.1
"보통습윤",1033.6,10.9,11.2,1075.15,"안동",1248
"보통습윤",1033.6,10.9,11.2,293.31,"임하",595
"정상",1236.7,10.9,8,1859.65,"충주",2750
"정상",1050.7,11,14,33.53,"군위",48.7
"심한습윤",1563.2,11,9.1,288.88,"섬진강",466
"정상",1517.1,11,10.8,139.39,"남강",309.2
"정상",1282,10.9,12.9,112.32,"영주",181.1
"보통습윤",2033,11,13.6,8.46,"구천",10.02
"보통습윤",2033,11,13.6,4.27,"연초",5.22
"보통습윤",1520.5,11,10.4,571.65,"합천",790
"심한습윤",1758.5,11,12.9,8.07,"평림",10.26
"정상",1092.8,10.9,12.2,79.53,"보령",116.9
"심한습윤",1776.3,11,8.3,576.6,"용담",815
"심한습윤",1259,10.9,13.2,40.43,"김천부항",54.3
"정상",1150,10.9,12.1,1004.33,"대청",1490
"정상",1105.4,11,10.9,60.42,"밀양",73.6
"정상",1167.4,11,14.8,21.86,"대곡",36.16
"정상",1167.4,11,14.8,3.72,"대암",13.14
"정상",1167.4,11,14.8,12.43,"사연",30.34
"정상",1167.4,11,14.8,1.34,"선암",2.02
"정상",1125.7,10,5.7,974.43,"대청",1490
"보통습윤",1036.5,10,7.2,30.19,"군위",48.7
"보통습윤",1433.8,10.1,7,151.54,"남강",309.2
"정상",1036.7,10,5.9,73.55,"보령",116.9
"정상",1294.8,10.1,8.1,113.33,"장흥",191
"심한습윤",1768.3,10.1,2.4,549.54,"용담",815
"정상",972.9,10,5.5,12.41,"보현산",22.11
"정상",972.9,10,5.5,62.58,"영천",103.21
"심한습윤",1693.3,10.1,8.1,7.61,"평림",10.26
"보통습윤",1153.6,10.1,9.1,21.13,"대곡",36.16
"보통습윤",1153.6,10.1,9.1,4.26,"대암",13.14
"보통습윤",1153.6,10.1,9.1,7.99,"사연",30.34
"보통습윤",1153.6,10.1,9.1,1.52,"선암",2.02
"정상",1174.9,10,4.2,109.32,"영주",181.1
"정상",1268,9.9,1.7,1801.76,"소양강",2900
"심한습윤",1369.5,10,6.1,36.77,"부안",50.3
"심한습윤",1225.8,10,5.5,37.53,"김천부항",54.3
"정상",1237.7,9.9,1,62.88,"횡성",86.9
"보통습윤",1454,10.1,5.3,548.27,"합천",790
"정상",1123.1,10.1,6.6,56.65,"밀양",73.6
"심한습윤",1968.5,10.1,9.4,7.69,"구천",10.02
"심한습윤",1968.5,10.1,9.4,4.03,"연초",5.22
"정상",1237.7,9.9,2,62.78,"횡성",86.9
"정상",1174.9,9.9,5.1,108.94,"영주",181.1
"심한습윤",1225.8,10,7.8,37.41,"김천부항",54.3
"정상",1123.1,10,7.8,56.52,"밀양",73.6
"정상",1157.1,9.9,3.4,1715.09,"충주",2750
"정상",1268,9.8,2.8,1798.72,"소양강",2900
"정상",1294.8,10.1,9.7,113.17,"장흥",191
"심한습윤",1768.3,10,5,548.7,"용담",815
"심한습윤",1693.3,10.1,9.1,7.6,"평림",10.26
"심한습윤",1556.5,10,6.5,293.58,"섬진강",466
"심한습윤",1369.5,10,7.7,36.69,"부안",50.3
"보통습윤",1036.5,10,8.8,30.06,"군위",48.7
"정상",972.9,10,6.9,12.37,"보현산",22.11
"정상",972.9,10,6.9,62.43,"영천",103.21
"보통습윤",1153.6,10,9.2,21.03,"대곡",36.16
"보통습윤",1153.6,10,9.2,4.4,"대암",13.14
