"가뭄","누적강수량","가조시간","평균기온","저수량","댐"
"보통습윤",1507.9,10.4,9.2,2075.86,"소양강"
"보통습윤",1504.8,10.3,7.6,2072.3,"소양강"
"보통습윤",1504.8,10.3,10,2069.34,"소양강"
"보통습윤",1504.8,10.3,11.8,2065.95,"소양강"
"심한습윤",1544.3,10.2,12.2,2064.71,"소양강"
"보통습윤",1184.7,13.6,24.6,2093.53,"소양강"
"보통습윤",1184.7,13.5,25.2,2073.22,"소양강"
"보통습윤",1213.1,13.5,24.6,2060.08,"소양강"
"보통습윤",1213.1,13.5,27.7,2056.94,"소양강"
"보통습윤",1213.1,13.4,26.5,2051.28,"소양강"
"보통습윤",1212.5,13.4,26.3,2043.66,"소양강"
"보통습윤",1212.5,13.4,26.1,2034.29,"소양강"
"정상",1212.5,13.3,23.7,2022.94,"소양강"
"정상",1213.4,13.3,21.4,2011.86,"소양강"
"정상",1210.4,13.1,19.9,1961.89,"소양강"
"정상",1241.5,13.1,18.9,1950.58,"소양강"
"정상",1244.8,13.1,20.6,1942.53,"소양강"
"정상",1244.8,13,22,1941.35,"소양강"
"정상",1243.9,13,22.5,1942.96,"소양강"
"정상",1243.9,12.9,22,1928.47,"소양강"
"정상",1282.3,12.9,20.8,1915.06,"소양강"
"보통습윤",1448.4,12.9,19.7,2000.82,"소양강"
"보통습윤",1496.9,12.8,19.9,2283.56,"소양강"
"보통습윤",1496.9,12.8,20.6,2288.67,"소양강"
"보통습윤",1496.9,12.7,21.3,2284.15,"소양강"
"보통습윤",1496.9,12.7,21.7,2273.91,"소양강"
"보통습윤",1497.2,12.6,22.1,2261.88,"소양강"
"보통습윤",1497.2,12.6,22.9,2247.5,"소양강"
"보통습윤",1493.3,12.5,22.9,2233.44,"소양강"
"보통습윤",1454.7,12.5,23,2220.64,"소양강"
"보통습윤",1447.2,12.5,23.7,2208.68,"소양강"
"보통습윤",1447.4,12.4,25.2,2194.64,"소양강"
"보통습윤",1448.9,12.4,25.9,2180.76,"소양강"
"보통습윤",1448.9,12.3,25.5,2166.4,"소양강"
"보통습윤",1448.9,12.3,22.2,2153.76,"소양강"
"보통습윤",1437.4,12.3,17.7,2141.83,"소양강"
"보통습윤",1437.3,12.2,17.2,2137.15,"소양강"
"보통습윤",1437.3,12.2,17,2131.85,"소양강"
"보통습윤",1438.7,12.1,16.4,2125.97,"소양강"
"보통습윤",1438.7,12.1,15.6,2120,"소양강"
"보통습윤",1438.7,12.1,16.8,2113.67,"소양강"
"정상",1429.6,12,16.9,2107.46,"소양강"
"정상",1399,12,18.1,2101.01,"소양강"
"정상",1399,11.9,17.6,2094.26,"소양강"
"정상",1399,11.9,18.3,2087.27,"소양강"
"정상",1398.5,11.9,18.2,2080.55,"소양강"
"정상",1398.5,11.8,18.2,2076.02,"소양강"
"정상",1407.7,11.8,17.3,2071.41,"소양강"
"보통습윤",1510.6,11.7,18,2073.42,"소양강"
"보통습윤",1524.4,11.7,18.7,2115.76,"소양강"
"보통습윤",1524.4,11.7,15.5,2133.77,"소양강"
"보통습윤",1524.4,11.6,14.8,2141.66,"소양강"
"보통습윤",1524.4,11.6,13.8,2147.36,"소양강"
"보통습윤",1524.4,11.5,13.7,2151.05,"소양강"
"보통습윤",1535.8,11.5,12.5,2153.04,"소양강"
"보통습윤",1535.8,11.5,9.7,2153.34,"소양강"
"보통습윤",1535.8,11.4,10.5,2153.39,"소양강"
"보통습윤",1535.8,11.4,12.2,2152.45,"소양강"
"보통습윤",1535.4,11.3,13.5,2150.76,"소양강"
"보통습윤",1527.5,11.3,15.1,2148.28,"소양강"
"보통습윤",1527.5,11.3,15.9,2145.99,"소양강"
"보통습윤",1527.5,11.2,14.6,2143,"소양강"
"보통습윤",1527.5,11.2,11.5,2139.98,"소양강"
"심한습윤",460.9,14.8,22.4,1548.46,"소양강"
"심한습윤",460.9,14.8,20.4,1544.83,"소양강"
"심한습윤",461.6,14.8,21.7,1540.75,"소양강"
"심한습윤",461.6,14.8,22.6,1536.23,"소양강"
"보통습윤",461.6,14.8,23.1,1531.71,"소양강"
"보통습윤",467.2,14.8,22.4,1526.76,"소양강"
"보통습윤",478.9,14.8,20.1,1522.27,"소양강"
"보통습윤",479.7,14.8,20.9,1517.34,"소양강"
"보통습윤",479.7,14.8,23.1,1511.97,"소양강"
"보통습윤",479.7,14.8,24.4,1506.18,"소양강"
"보통습윤",511.3,14.8,21.4,1503.51,"소양강"
"보통습윤",521.8,14.8,24,1500.84,"소양강"
"보통습윤",521.8,14.8,24,1497.29,"소양강"
"보통습윤",521.5,14.8,24.5,1492.87,"소양강"
"보통습윤",522.1,14.8,24.5,1488.01,"소양강"
