"ID","가뭄","누적강수량","계절","가조시간","평균기온","행정구역","저수량"
138,"정상",451.4,"봄",11.5,8.5,"전라남도",91.6
139,"정상",355.4,"봄",11.4,7.5,"경상북도",33.73
140,"정상",345.6,"봄",11.4,7.8,"경상남도",51.4
141,"약한가뭄",255.5,"봄",12.7,7.5,"전라북도",293.82
142,"정상",160.6,"봄",12.8,10.8,"강원도",66.39
143,"보통습윤",921.3,"겨울",10.4,1.5,"전라북도",639.8
144,"심한습윤",801.9,"겨울",10.3,1.8,"경상북도",0.29
145,"보통습윤",727.3,"겨울",10.3,0,"충청북도",1936.16
146,"정상",403,"봄",11.5,6.6,"충청북도",1699.02
147,"정상",397,"봄",11.5,7.9,"경상북도",0.08
148,"정상",281.4,"봄",11.5,9,"경상북도",600.525
149,"정상",304.5,"봄",11.5,7,"전라북도",31.84
150,"약한가뭄",209.8,"봄",12.8,11.8,"전라북도",607.12
151,"보통가뭄",105.2,"봄",12.8,13.1,"대구광역시",22.39
152,"보통가뭄",97.5,"봄",12.8,15.4,"경상북도",29.54
153,"정상",312.9,"봄",12.8,14.2,"경상남도",4.92
154,"약한가뭄",205,"봄",12.9,11,"전라북도",30.15
155,"정상",935.7,"겨울",9.8,-1.3,"경상남도",176.02
156,"정상",852.4,"겨울",9.8,-0.4,"전라북도",34.67
157,"정상",1182.2,"겨울",9.9,2.1,"경상남도",5.87
158,"정상",798.8,"겨울",9.9,1.1,"전라남도",98.79
159,"정상",818.9,"겨울",9.8,-0.6,"대구광역시",28.13
160,"정상",748,"겨울",10.4,0.4,"광주광역시",6.41
161,"보통습윤",658.8,"겨울",10.4,0,"대구광역시",25.93
162,"정상",708.4,"겨울",10.5,1.4,"경상남도",175.74
163,"정상",298.1,"봄",11.6,10,"광주광역시",6.02
164,"정상",255.9,"봄",11.6,9.4,"충청북도",1050.23
165,"정상",199.7,"봄",12.9,9.2,"충청북도",1351.5
166,"약한가뭄",227.7,"봄",12.9,7.9,"광주광역시",5.66
167,"정상",245.8,"봄",12.9,6.4,"전라북도",611.6
168,"정상",956.7,"겨울",9.8,-5.6,"전라북도",664.13
169,"정상",723.4,"겨울",9.9,1.2,"전라남도",98.64
170,"정상",657.1,"겨울",9.8,-0.9,"경상북도",38.51
171,"정상",741.7,"겨울",9.9,0.5,"광주광역시",6.99
172,"정상",638.4,"겨울",9.8,-2.2,"전라북도",34.57
173,"정상",717.6,"겨울",9.9,-0.3,"전라남도",98.35
174,"정상",976.7,"겨울",9.9,3.8,"경상남도",5.825
175,"정상",595.6,"겨울",10.5,4.5,"경상북도",36.92
176,"보통습윤",687,"겨울",10.4,1.6,"강원도",1841.91
177,"정상",721.9,"겨울",10.6,4.8,"경상남도",177.4
178,"보통습윤",696.5,"겨울",10.5,4.8,"경상남도",53.56
179,"보통습윤",765.4,"겨울",10.5,3.7,"경상남도",555.93
180,"정상",296.5,"봄",11.6,3.3,"충청남도",65.9
181,"정상",305.6,"봄",11.6,5.7,"경상북도",0.07
182,"정상",395.3,"봄",11.7,6.1,"전라남도",90.89
