"연도","시도","시군구","농업용","생활용","산업용","유역","지점"
2021,"경상북도","울진군",2214348,2896588,217157,"낙동강","울진"
2021,"경상북도","의성군",9118099,8771112,1418741,"낙동강","의성"
2021,"경상북도","청도군",7326874,3073329,1029119,"낙동강","경주"
2021,"경상북도","포항시",3891671,4378147,3505088,"낙동강","포항"
2021,"전라북도","군산시",1588184,2151092,825534,"금강","군산"
2021,"전라북도","남원시",22712982,6950381,909948,"영섬","남원"
2021,"전라북도","부안군",7422014,3151525,487957,"금강","부안"
2021,"충청남도","서산시",23332800,5194371,1162170,"금강","서산"
2021,"충청남도","천안시",16940528,10277194,3942707,"금강","천안"
2021,"충청북도","제천시",20760175,6786740,843180,"한강","제천"
2021,"충청북도","진천군",12989648,11545305,2837408,"한강","천안"
2022,"강원도","양구군",5051664,1202183,37524,"한강","인제"
2022,"강원도","영월군",2028051,7451951,261391,"한강","영월"
2022,"경기도","과천시",838388,434143,0,"한강","서울"
2022,"경기도","광명시",2027520,984688,686296,"한강","서울"
2022,"경기도","시흥시",1833200,635961,88448,"한강","인천"
2022,"경기도","안성시",17180112,16052745,1393901,"한강","수원"
2022,"경상남도","창원시",8090587,20248142,2464775,"낙동강","창원"
2022,"경상북도","고령군",17804913,5844178,1712412,"낙동강","대구"
2022,"경상북도","울진군",2214348,2794093,217157,"낙동강","울진"
2022,"전라남도","곡성군",14506130,8125013,2532657,"영섬","남원"
2022,"전라남도","영광군",11936629,2676034,302925,"영섬","영광군"
2022,"전라북도","임실군",7887991,2234621,595727,"영섬","임실"
2022,"전라북도","진안군",9471014,5416598,221119,"금강","장수"
2022,"충청남도","계룡시",819296,521037,113906,"금강","대전"
2022,"충청남도","천안시",16939026,10174527,3939374,"금강","천안"
2019,"강원도","철원군",3842954,4430146,267775,"한강","철원"
2019,"강원도","횡성군",11049166,9822473,581931,"한강","홍천"
2019,"경기도","안산시",1967494,1114286,179777,"한강","인천"
2019,"경기도","의정부시",832188,2152335,42973,"한강","서울"
2019,"경기도","화성시",4546737,13252297,3305256,"한강","인천"
2019,"경상남도","거창군",12696740,4085577,895000,"낙동강","거창"
2019,"경상남도","고성군",3535801,1482241,290659,"한강","통영"
2019,"경상남도","밀양시",4928746,3828716,267118,"낙동강","밀양"
2019,"경상남도","사천시",3127397,6064426,1175489,"낙동강","남해"
2019,"경상남도","창녕군",16443078,3756240,1361532,"낙동강","밀양"
2019,"경상남도","하동군",3698944,5305453,189657,"낙동강","진주"
2019,"경상북도","청도군",6385603,2998680,1173453,"낙동강","경주"
2019,"전라남도","고흥군",9058347,5323709,1055465,"영섬","고흥"
2019,"전라남도","완도군",11481712,2243946,43481,"영섬","완도"
2019,"전라남도","진도군",3588160,2070303,136875,"영섬","진도군"
2019,"충청북도","보은군",9935764,5422033,202382,"금강","보은"
2019,"충청북도","옥천군",10111620,6714904,1280027,"금강","보은"
2019,"충청북도","충주시",25000664,13906305,2194080,"한강","충주"
2020,"강원도","삼척시",4565578,16325416,939452,"한강","동해"
2020,"강원도","속초시",667464,1009316,185139,"한강","속초"
2020,"강원도","춘천시",19642357,16585869,806300,"한강","춘천"
2020,"경기도","가평군",3568182,6336409,140931,"한강","춘천"
2020,"경기도","부천시",557689,1154599,220967,"한강","서울"
2020,"경기도","안양시",126020,1777579,351714,"한강","서울"
2020,"경기도","여주시",15069797,15175327,2989700,"한강","이천"
2020,"경기도","연천군",3708296,1533300,444382,"한강","동두천"
2020,"경기도","오산시",813696,964683,684612,"한강","수원"
2020,"경상남도","거제시",2917824,6664562,102266,"낙동강","거제"
2020,"경상남도","창녕군",17865205,4349840,1421757,"낙동강","밀양"
2020,"경상북도","구미시",3406854,3842029,2225400,"낙동강","구미"
2020,"경상북도","영덕군",2509800,4483027,831124,"낙동강","영덕"
2020,"경상북도","영천시",14071018,9189582,7457440,"낙동강","영천"
2020,"전라남도","곡성군",14431047,8160899,2532657,"영섬","남원"
2020,"전라남도","구례군",3043763,2577723,41850,"영섬","남원"
2020,"전라남도","담양군",60563301,6700748,1657634,"영섬","광주"
2020,"전라남도","순천시",23710149,10889066,820463,"영섬","순천"
2020,"전라남도","영광군",11610788,2682264,302925,"영섬","영광군"
2020,"전라남도","장성군",6839928,3887949,927277,"영섬","광주"
2020,"전라남도","장흥군",13147272,2955199,219066,"영섬","장흥"
2020,"전라남도","진도군",3858318,2006033,136875,"영섬","진도군"
2020,"전라북도","무주군",4801201,2070107,110035,"금강","금산"
2020,"전라북도","전주시",4887871,7596120,1202133,"금강","전주"
2020,"전라북도","진안군",9343208,5418747,221119,"금강","장수"
2020,"충청남도","계룡시",723885,694103,113906,"금강","대전"
