"조사년도","관측소명","평균 수위"
2018,"고양",31.8
2018,"군포",41.5
2018,"남양",59.1
2018,"안성",82.8
2018,"양구",280.1
2018,"여주",58.7
2018,"연천",50.5
2018,"의정",33.6
2018,"춘천",141
2018,"평택",15
2018,"상주",131.3
2018,"의성",77.4
2018,"창녕",49.5
2018,"청도",56.8
2018,"통영",-0.3
2018,"포항",54.9
2018,"공주",35.4
2018,"논산",48
2018,"세종",19.9
2018,"아산",14
2018,"장수",284.6
2018,"순천",94.3
2018,"목포",17.9
2018,"가평",82.7
2018,"광주",44.8
2018,"시흥",5.4
2018,"원주",149.5
2018,"이천",46.1
2018,"포천",125.7
2018,"대구",67.2
2018,"청송",214.8
2018,"함양",347.5
2018,"김제",7.6
2018,"광양",21.8
2018,"영광",22.8
2018,"장성",74.6
2018,"동두",55.3
2018,"부천",9.6
2018,"수원",22.1
2018,"제천",217.3
2018,"태백",697.5
2018,"하남",74.1
2018,"홍천",239
2018,"횡성",278.1
2018,"남해",82.6
2018,"울산",70.4
2018,"울진",41.1
2018,"의령",26.1
2018,"진주",19.8
2018,"군산",7.7
2018,"부안",5.8
2018,"태안",16.8
2018,"강진",43.3
2018,"남원",138.6
2018,"하동",10.1
2018,"나주",8.4
2018,"영암",15.5
2018,"진도",5.7
2018,"함평",32.4
2018,"강릉",224.7
2018,"양양",0.4
2018,"의왕",55.6
2018,"청주",75.1
2018,"화천",194.1
2018,"거제",108.6
2018,"경주",109.3
2018,"안동",133.1
2018,"창원",10.9
2018,"칠곡",68
2018,"고창",21
2018,"금산",139.4
2018,"당진",10.2
2018,"대전",29.3
2018,"부여",10.2
2018,"임실",161.5
2018,"무안",6.6
2018,"광명",6.3
2018,"김포",11.5
2018,"속초",11.6
2018,"양평",62
2018,"파주",25.9
2018,"화성",24.6
2018,"거창",224.2
2018,"고령",20.5
2018,"김해",3.4
2018,"사천",23.7
2018,"함안",29.3
2018,"서천",9.5
2018,"익산",9.5
2018,"고흥",19.8
2018,"구례",28.5
2018,"담양",54.3
2018,"성남",54.5
2018,"안산",44.6
2018,"군위",122.8
2018,"문경",162.9
2018,"산청",168.4
2018,"영양",203.4
2018,"영주",192.4
2018,"영천",107.9
2018,"예천",74.6
2018,"영동",187.5
2018,"완주",42.4
2018,"전주",30.3
2018,"진안",272.2
2018,"청양",68.2
2018,"홍성",42.2
2018,"여수",28
2018,"고성",27.8
2018,"동해",6.8
2018,"삼척",134.5
2018,"오산",46.8
2018,"인제",258.5
2018,"인천",5.1
2018,"정선",368.8
2018,"천안",58.6
2018,"철원",152.3
2018,"평창",482
2018,"봉화",247
2018,"성주",44.3
2018,"영덕",23.7
2018,"보은",129.5
2018,"서산",16.2
2018,"예산",18.1
2018,"옥천",113.1
2018,"정읍",17.3
2018,"보성",61.4
2018,"완도",139.7
2018,"제주",72.6
2018,"괴산",134.7
2018,"단양",316.8
2018,"서울",8.8
2018,"안양",43
2018,"양주",89.7
2018,"영월",309.3
2018,"용인",47.8
2018,"음성",107.7
2018,"충주",79.9
2018,"경산",66.3
2018,"구미",44.6
2018,"김천",192.6
2018,"밀양",25
2018,"부산",50.6
2018,"양산",109.8
2018,"합천",50.2
2018,"계룡",135.5
2018,"무주",329.7
2018,"보령",60.3
2018,"증평",92.9
2018,"진천",57.5
2018,"곡성",74
2018,"순창",152.6
2018,"화순",104.9
2018,"장흥",20.4
2018,"해남",19
