일자,시군구,평년수위,현재수위,평년대비현재수위
2020-05-01,충북,5.75,5.74,100.17
2020-05-01,세종,,,
2020-05-01,충남,4.51,4.64,97.37
2020-05-01,전북,4.2,4.05,103.7
2020-05-01,전남,4.21,3.7,113.8
2020-05-01,대구,6.31,5.19,121.9
2020-05-01,경북,6.54,6.37,102.67
2020-05-01,부산,,,
2020-05-01,울산,6.94,6.76,102.67
2020-05-01,경남,6.46,5.52,117.07
2020-06-01,전국,5.38,4.84,111.2
2020-06-01,인천,7.35,4.31,170.97
2020-06-01,경기,5.21,5.13,101.57
2020-06-01,강원,5.65,4.77,118.53
2020-06-01,충북,5.72,5.62,101.87
2020-06-01,세종,,,
2020-06-01,충남,4.58,4.62,99.27
2020-06-01,전북,4.19,4.08,102.73
2020-06-01,전남,4.29,3.66,117.13
2020-06-01,대구,6.49,7.2,92.37
2020-06-01,경북,6.75,6.52,103.57
2020-06-01,부산,,,
2020-06-01,울산,6.88,6.68,102.93
2020-06-01,경남,6.49,5.42,119.87
2020-07-01,전국,5.18,4.64,111.7
2020-07-01,인천,6.55,3.32,197.67
2020-07-01,경기,5.1,5.06,100.77
2020-07-01,강원,5.68,4.55,124.8
2020-07-01,충북,5.64,5.27,106.87
2020-07-01,세종,,,
2020-07-01,충남,4.51,4.7,95.83
2020-07-01,전북,4.06,4.05,100.17
2020-07-01,전남,4.02,3.38,119.03
2020-07-01,대구,5.71,5.87,100.77
2020-07-01,경북,6.51,6.82,95.6
2020-07-01,부산,,,
2020-07-01,울산,6.83,6.54,104.5
2020-07-01,경남,6.2,4.91,126.37
2020-08-01,전국,5.18,4.61,112.5
2020-08-01,인천,6.07,2.62,231.7
2020-08-01,경기,5.03,5.2,97.1
2020-08-01,강원,5.53,4.78,115.8
2020-08-01,충북,5.61,5.08,110.6
2020-08-01,세종,,,
2020-08-01,충남,4.52,4.9,92.23
2020-08-01,전북,4.09,4.15,98.6
2020-08-01,전남,4.18,3.35,124.77
2020-08-01,대구,5.46,5.07,109.23
2020-08-01,경북,6.44,6.78,94.93
2020-08-01,부산,,,
2020-08-01,울산,6.77,6.58,102.87
2020-08-01,경남,6.2,4.78,129.73
2020-09-01,전국,4.98,4.56,109.03
2020-09-01,인천,5.6,2.39,235.47
2020-09-01,경기,5.04,4.99,101.07
2020-09-01,강원,5.28,4.87,108.33
2020-09-01,충북,5.53,4.62,119.8
2020-09-01,세종,,,
2020-09-01,충남,4.44,4.75,93.5
2020-09-01,전북,4,4.08,97.87
2020-09-01,전남,3.9,3.28,118.93
2020-09-01,대구,5.44,4.96,109.53
2020-09-01,경북,6.37,6.75,94.4
2020-09-01,부산,,,
2020-09-01,울산,6.88,6.56,104.9
2020-09-01,경남,5.78,4.72,122.4
2020-01-01,전국,4.93,4.72,104.57
2020-01-01,인천,4.54,2.6,174.8
2020-01-01,경기,5.05,4.92,102.63
2020-01-01,강원,5.44,4.78,113.97
2020-01-01,충북,5.57,5.03,110.73
2020-01-01,세종,,,
2020-01-01,충남,4.33,4.4,98.4
2020-01-01,전북,4,4.08,98.07
2020-01-01,전남,3.81,3.59,106.03
2020-01-01,대구,5.25,5.16,101.67
2020-01-01,경북,6.54,6.8,96.23
2020-01-01,부산,,,
2020-01-01,울산,6.93,6.68,103.77
2020-01-01,경남,5.77,5.07,113.8
2020-11-01,전국,5.15,4.84,106.4
2020-11-01,인천,5.23,3.23,162.03
2020-11-01,경기,5.06,5.06,100.07
2020-11-01,강원,5.56,4.82,115.47
2020-11-01,충북,5.7,5.29,107.73
2020-11-01,세종,,,
2020-11-01,충남,4.52,4.54,99.47
2020-11-01,전북,4.05,4.11,98.77
2020-11-01,전남,3.98,3.59,110.57
2020-11-01,대구,5.25,4.98,106.03
2020-11-01,경북,6.99,7.04,99.47
2020-11-01,부산,,,
2020-11-01,울산,7,6.82,102.57
2020-11-01,경남,6.19,5.26,117.77
2020-12-01,전국,5.37,4.92,109.3
2020-12-01,인천,5.14,3.18,161.83
2020-12-01,경기,5.36,5.22,102.77
2020-12-01,강원,5.54,5.09,109
2020-12-01,충북,5.62,5.31,105.77
2020-12-01,세종,,2.31,
2020-12-01,충남,4.77,4.51,105.77
2020-12-01,전북,4.26,4.28,99.5
2020-12-01,전남,4.17,3.45,120.8
2020-12-01,대구,5.15,5.57,92.53
2020-12-01,경북,7.07,7.16,98.83
2020-12-01,부산,,,
2020-12-01,울산,7,6.85,102.23
2020-12-01,경남,6.82,5.74,118.83
2019-01-01,전국,5.5,5,110.03
2019-01-01,인천,5.19,2.98,174.17
2019-01-01,경기,5.76,5.11,112.77
2019-01-01,강원,5.14,5.43,94.57
2019-01-01,충북,5.82,5.76,101.2
2019-01-01,세종,,,
2019-01-01,충남,4.63,4.65,99.5
2019-01-01,전북,4.72,4.21,112.03
2019-01-01,전남,4.44,3.82,116
2019-01-01,대구,5.44,3.76,162.47
2019-01-01,경북,6.85,6.97,98.3
2019-01-01,부산,,,
2019-01-01,울산,6.92,6.86,100.9
2019-01-01,경남,7.42,6.24,118.93
2019-02-01,전국,5.54,5.03,110.17
2019-02-01,인천,5.43,2.98,182.37
2019-02-01,경기,5.98,5.11,116.93
2019-02-01,강원,5.25,5.61,93.7
2019-02-01,충북,6.04,5.9,102.4
2019-02-01,세종,,,
2019-02-01,충남,4.77,4.67,102.03
2019-02-01,전북,4.81,4.17,115.23
2019-02-01,전남,4.47,3.88,115.5
2019-02-01,대구,4.17,5.4,77.93
2019-02-01,경북,6.63,6.85,97.03
2019-02-01,부산,,,
2019-02-01,울산,6.97,6.9,101.03
2019-02-01,경남,7.35,6.24,117.9
2019-03-01,전국,5.4,5.05,106.97
2019-03-01,인천,5.38,3.2,167.87
2019-03-01,경기,5.61,5.02,111.77
2019-03-01,강원,5.22,5.74,91.07
2019-03-01,충북,5.68,5.82,97.7
2019-03-01,세종,,,
2019-03-01,충남,4.64,4.62,100.53
2019-03-01,전북,4.6,4.28,107.63
2019-03-01,전남,4.34,3.76,115.37
2019-03-01,대구,4.17,3.74,132
2019-03-01,경북,6.61,6.76,97.97
2019-03-01,부산,,,
2019-03-01,울산,6.98,6.86,101.87
2019-03-01,경남,6.9,6.45,106.83
2019-04-01,전국,5.26,5.06,103.93
2019-04-01,인천,6.14,3.91,157.47
2019-04-01,경기,5.46,5.04,108.2
2019-04-01,강원,5.23,5.71,91.6
2019-04-01,충북,5.54,5.93,93.43
2019-04-01,세종,,,
2019-04-01,충남,4.53,4.64,97.83
2019-04-01,전북,4.25,4.23,100.37
2019-04-01,전남,4.16,3.73,111.73
2019-04-01,대구,3.92,2.55,154.77
2019-04-01,경북,6.51,6.83,95.27
2019-04-01,부산,,,
2019-04-01,울산,6.95,6.86,101.3
2019-04-01,경남,6.55,6.45,101.47
2019-05-01,전국,5.28,5.16,102.17
2019-05-01,인천,7.08,4.92,143.9
2019-05-01,경기,5.56,5.11,108.8
2019-05-01,강원,5.08,5.84,86.93
2019-05-01,충북,5.45,5.85,93.17
2019-05-01,세종,,,
2019-05-01,충남,4.58,4.72,97
2019-05-01,전북,4.27,4.25,100.5
2019-05-01,전남,4.18,3.78,110.57
2019-05-01,대구,3.99,6.41,63.57
2019-05-01,경북,6.6,6.98,94.53
2019-05-01,부산,,,
2019-05-01,울산,6.94,6.82,101.8
2019-05-01,경남,6.41,6.35,101.07
2019-11-01,전국,5.12,4.72,108.5
2019-11-01,인천,5.54,3.12,178.77
2019-11-01,경기,5.21,4.66,111.87
2019-11-01,강원,5.43,4.98,109.23
2019-11-01,충북,5.44,5.57,97.6
2019-11-01,세종,,,
2019-11-01,충남,4.55,4.46,102.13
2019-11-01,전북,4.17,3.97,105.03
2019-11-01,전남,3.97,3.53,112.3
2019-11-01,대구,3.46,4.07,86.8
2019-11-01,경북,7,6.73,104.07
2019-11-01,부산,,,
2019-11-01,울산,6.99,6.82,102.47
2019-11-01,경남,6.12,5.55,110.43
2019-12-01,전국,5.31,4.89,108.57
2019-12-01,인천,5.14,2.55,201.33
2019-12-01,경기,5.15,5.08,101.47
2019-12-01,강원,5.47,4.97,110.07
2019-12-01,충북,5.77,5.51,104.83
2019-12-01,세종,,,
2019-12-01,충남,4.7,4.76,98.9
2019-12-01,전북,4.28,4.12,104.03
2019-12-01,전남,4.17,3.68,113.23
2019-12-01,대구,3.17,5.01,64.03
2019-12-01,경북,7.09,6.88,103.17
2019-12-01,부산,,,
2019-12-01,울산,6.98,6.89,101.23
2019-12-01,경남,6.9,5.77,119.8
